UserID,EventSource,Region,MFA_Used,EventName,EventDetail,Resource,Anomaly Score,DriftFlag,DriftReason,RemediationStep
user-001,signin.amazonaws.com,us-east-1,True,ConsoleLogin,User logged in with MFA,IAM User,-0.43346078173718333,Normal,activity in rare region us-east-1,Review geo-access policy and restrict deployment regions.
user-002,s3.amazonaws.com,us-east-1,False,CreateBucket,Public S3 bucket created,S3 Bucket,-0.42523707621247503,Normal,MFA not used for a sensitive action; S3 action indicates possible public exposure; activity in rare region us-east-1,Enforce MFA via IAM policy and block sensitive APIs without MFA context.
root,signin.amazonaws.com,us-west-2,False,ConsoleLogin,Root login without MFA,Root Account,-0.4727146044180135,Normal,event performed by root account; MFA not used for a sensitive action; activity in rare region us-west-2,Enforce MFA via IAM policy and block sensitive APIs without MFA context.
user-015,ec2.amazonaws.com,eu-west-1,True,AuthorizeSecurityGroupIngress,Security group updated with restricted source CIDR,Security Group,-0.47407712730357665,Normal,activity in rare region eu-west-1,Review geo-access policy and restrict deployment regions.
user-021,s3.amazonaws.com,ap-south-1,False,PutBucketAcl,Bucket ACL set to public-read,S3 Bucket,-0.47923273639664277,Normal,MFA not used for a sensitive action; S3 action indicates possible public exposure; activity in rare region ap-south-1,Enforce MFA via IAM policy and block sensitive APIs without MFA context.
user-044,iam.amazonaws.com,us-east-1,False,CreateAccessKey,Long-lived IAM access key created without approval,IAM User,-0.45903051304567005,Normal,MFA not used for a sensitive action; activity in rare region us-east-1,Enforce MFA via IAM policy and block sensitive APIs without MFA context.
user-009,kms.amazonaws.com,us-west-2,True,DisableKey,Unused KMS key disabled per key lifecycle policy,KMS Key,-0.4864367488642778,Normal,activity in rare region us-west-2,Review geo-access policy and restrict deployment regions.
user-030,ec2.amazonaws.com,us-east-1,False,AuthorizeSecurityGroupIngress,Security group opened to 0.0.0.0/0 on port 22,Security Group,-0.4426223533215941,Normal,MFA not used for a sensitive action; activity in rare region us-east-1,Enforce MFA via IAM policy and block sensitive APIs without MFA context.
user-051,signin.amazonaws.com,eu-west-1,True,ConsoleLogin,User logged in with MFA,IAM User,-0.4544115340813915,Normal,activity in rare region eu-west-1,Review geo-access policy and restrict deployment regions.
user-060,s3.amazonaws.com,us-east-1,True,PutBucketPublicAccessBlock,S3 public access block enabled,S3 Bucket,-0.44419726720362784,Normal,S3 action indicates possible public exposure; activity in rare region us-east-1,Enable S3 Block Public Access and apply restrictive bucket policies.
